,Annual Income,Kids at Home,Teens at Home,Days as Customer,Customer Recency,Wine,Fruit,Meat,Fish,Sweets,Gold,Deals Purchased,Web Purchases,Catalog Purchases,Store Purchases,Monthly Web Visits,Cluster
0,58138.0,0,0,3274,58,635,88,546,172,88,88,3,8,10,4,7,2
1,46344.0,1,1,2724,38,11,1,6,2,1,6,2,1,1,2,5,1
2,71613.0,0,0,2923,26,426,49,127,111,21,42,1,8,2,10,4,2
3,26646.0,1,0,2750,26,11,4,20,10,3,5,2,2,0,4,6,1
4,58293.0,1,0,2772,94,173,43,118,46,27,15,5,5,3,6,5,1
5,62513.0,0,1,2904,16,520,42,98,0,42,14,2,6,4,10,6,0
6,55635.0,0,1,3204,34,235,65,164,50,49,27,4,7,3,7,6,0
7,33454.0,1,0,3028,32,76,10,56,3,1,23,2,4,0,4,8,1
8,30351.0,1,0,2999,19,14,0,24,3,3,2,1,3,0,2,9,1
9,5648.0,1,1,2719,68,28,0,6,1,1,13,1,1,0,0,20,1
11,7500.0,0,0,3204,59,6,16,11,11,1,16,1,2,0,3,8,1
12,63033.0,0,0,2837,82,194,61,480,225,112,30,1,3,4,8,2,2
13,59354.0,1,1,2837,53,233,2,53,3,5,14,3,6,1,5,6,0
14,17323.0,0,0,3238,38,3,14,17,6,1,5,1,1,0,3,8,1
15,82800.0,0,0,3193,23,1006,22,115,59,68,45,1,7,6,12,3,2
16,41850.0,1,1,3163,51,53,5,19,2,13,4,3,3,0,3,8,1
17,37760.0,0,0,3278,20,84,5,38,150,12,28,2,4,1,6,7,0
18,76995.0,0,1,3069,91,1012,80,498,0,16,176,2,11,4,9,5,0
19,33812.0,1,0,3214,86,4,17,19,30,24,39,2,2,1,3,6,1
20,37040.0,0,0,3301,41,86,2,73,69,38,48,1,4,2,5,8,1
21,2447.0,1,0,3150,42,1,1,1725,1,1,1,15,0,28,0,1,2
22,58607.0,0,1,3164,63,867,0,86,0,0,19,3,2,3,9,8,0
23,65324.0,0,1,2780,0,384,0,102,21,32,5,3,6,2,9,4,0
24,40689.0,0,1,3079,69,270,3,27,39,6,99,7,7,1,5,8,0
25,18589.0,0,0,3154,89,6,4,25,15,12,13,2,2,1,3,7,1
26,53359.0,1,1,3009,4,173,4,30,3,6,41,4,5,1,4,7,1
28,38360.0,1,0,3005,26,36,2,42,20,21,10,2,2,1,4,3,1
29,84618.0,0,0,2830,96,684,100,801,21,66,0,1,6,9,10,2,2
30,10979.0,0,0,2649,34,8,4,10,2,2,4,2,3,0,3,5,1
31,38620.0,0,0,3025,56,112,17,44,34,22,89,1,2,5,3,3,1
32,40548.0,0,1,3238,31,110,0,5,2,0,3,2,2,1,4,5,1
33,46610.0,0,2,3219,8,96,12,96,33,22,43,6,4,1,6,6,0
34,68657.0,0,0,3105,4,482,34,471,119,68,22,1,3,5,9,7,2
35,49389.0,1,1,2915,55,40,0,19,2,1,3,1,2,0,3,7,1
36,67353.0,0,1,2791,37,702,17,151,0,8,35,5,5,6,12,2,0
37,23718.0,1,0,2911,76,6,3,14,15,7,36,3,3,1,2,7,1
38,42429.0,0,1,2749,99,55,0,6,2,0,4,2,1,1,3,5,1
39,48948.0,0,0,3124,53,437,8,206,160,49,42,2,7,10,5,6,2
40,80011.0,0,1,3037,3,421,76,536,82,178,102,2,8,6,5,4,2
41,20559.0,1,0,3085,88,13,1,29,3,0,7,2,2,0,3,8,1
42,21994.0,0,1,3163,4,9,0,6,3,1,3,1,0,0,3,5,1
44,7500.0,1,0,2881,19,3,1,10,3,2,12,3,2,0,3,5,1
45,79941.0,0,0,2612,72,123,164,266,227,30,174,1,2,4,9,1,2
46,7500.0,0,0,3208,24,3,18,14,15,22,50,3,3,1,3,9,1
47,41728.0,1,0,3012,92,13,6,15,3,5,13,1,2,0,2,10,1
49,72550.0,1,1,3209,39,826,50,317,50,38,38,9,5,2,12,8,0
50,65486.0,0,1,2659,29,245,19,125,37,67,14,1,4,2,10,2,0
51,79143.0,0,0,3298,2,650,37,780,27,167,32,1,6,9,13,3,2
52,35790.0,1,0,3154,54,12,6,20,30,1,3,2,2,0,3,7,1
53,82582.0,0,0,2633,54,510,120,550,156,40,241,1,4,9,7,1,2
54,66373.0,1,1,2993,57,328,9,124,12,24,109,7,4,2,10,3,0
55,82384.0,0,0,3198,55,984,51,432,180,120,190,1,3,10,13,1,2
56,70287.0,0,0,3064,30,295,35,482,121,120,40,1,5,5,10,3,2
57,27938.0,1,0,2673,31,13,0,8,2,1,5,1,1,0,4,3,1
59,55954.0,0,1,2729,63,447,0,28,0,0,43,3,8,2,6,7,0
60,75777.0,0,0,2971,12,712,26,538,69,13,80,1,3,6,11,1,2
61,66653.0,1,1,3271,18,452,18,102,16,18,6,4,4,2,12,3,0
62,61823.0,0,1,3107,26,523,7,134,37,14,169,4,8,2,10,7,0
63,67680.0,0,1,2994,8,546,0,48,0,6,6,1,7,3,8,5,0
64,70666.0,0,0,2816,29,398,40,367,119,122,30,1,7,4,4,4,2
65,25721.0,1,0,3015,75,1,3,6,3,6,15,1,1,1,2,7,1
66,32474.0,1,1,2660,0,10,0,1,0,0,0,1,1,0,2,7,1
67,88194.0,0,1,2713,19,688,14,309,201,24,38,1,11,10,10,5,2
68,69096.0,0,1,2886,4,247,49,159,7,82,109,1,5,2,10,4,0
69,74854.0,1,2,3058,90,856,59,487,58,29,73,7,2,5,5,5,0
70,66991.0,0,0,3267,1,496,36,460,189,60,12,3,4,8,6,3,2
72,65031.0,0,1,3080,29,258,107,291,84,37,86,4,10,3,13,7,0
73,60631.0,1,1,3061,88,565,6,65,0,6,19,5,9,2,8,7,0
